11.752s | tick 12185 | track 1 | ch 1 | Note Off G#5 (80) vel 0
11.752s | tick 12185 | track 1 | ch 1 | Note On F5 (77) vel 39
11.783s | tick 12217 | track 1 | ch 1 | Note Off G5 (79) vel 0
11.795s | tick 12229 | track 1 | ch 1 | Note On A#5 (82) vel 40
11.834s | tick 12269 | track 1 | ch 1 | Note Off G#5 (80) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off F5 (77) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off G#4 (68) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off F4 (65) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off C4 (60) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off F3 (53) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note Off F2 (41) vel 0
11.845s | tick 12281 | track 1 | ch 1 | Note On D#4 (63) vel 36
11.845s | tick 12281 | track 1 | ch 1 | Note On C3 (48) vel 33
11.845s | tick 12281 | track 1 | ch 1 | Note On C4 (60) vel 25
11.845s | tick 12281 | track 1 | ch 1 | Note On C5 (72) vel 35
11.849s | tick 12285 | track 1 | ch 1 | Note On C6 (84) vel 41
11.888s | tick 12325 | track 1 | ch 1 | Note Off A#5 (82) vel 0
11.938s | tick 12377 | track 1 | ch 1 | Note Off C3 (48) vel 0
11.938s | tick 12377 | track 1 | ch 1 | Note Off D#4 (63) vel 0
11.938s | tick 12377 | track 1 | ch 1 | Note On C4 (60) vel 36
11.938s | tick 12377 | track 1 | ch 1 | Note On C3 (48) vel 28
11.942s | tick 12381 | track 1 | ch 1 | Note Off C6 (84) vel 0
12.030s | tick 12473 | track 1 | ch 1 | Note Off C3 (48) vel 0
12.030s | tick 12473 | track 1 | ch 1 | Note Off C4 (60) vel 0
12.030s | tick 12473 | track 1 | ch 1 | Note Off C5 (72) vel 0
12.030s | tick 12473 | track 1 | ch 1 | Note Off C4 (60) vel 0
12.030s | tick 12473 | track 1 | ch 1 | Note On D#4 (63) vel 36
12.030s | tick 12473 | track 1 | ch 1 | Note On C3 (48) vel 28
12.030s | tick 12473 | track 1 | ch 1 | Note On C4 (60) vel 25
12.030s | tick 12473 | track 1 | ch 1 | Note On C5 (72) vel 35
12.123s | tick 12569 | track 1 | ch 1 | Note Off C5 (72) vel 0
12.123s | tick 12569 | track 1 | ch 1 | Note Off C4 (60) vel 0
12.123s | tick 12569 | track 1 | ch 1 | Note Off C3 (48) vel 0
12.123s | tick 12569 | track 1 | ch 1 | Note Off D#4 (63) vel 0
12.123s | tick 12569 | track 1 | ch 1 | Note On G4 (67) vel 36
12.123s | tick 12569 | track 1 | ch 1 | Note On C3 (48) vel 28
12.123s | tick 12569 | track 1 | ch 1 | Note On D#4 (63) vel 25
12.123s | tick 12569 | track 1 | ch 1 | Note On D#5 (75) vel 35
12.215s | tick 12665 | track 1 | ch 1 | Note Off D#5 (75) vel 0
12.215s | tick 12665 | track 1 | ch 1 | Note Off D#4 (63) vel 0
12.215s | tick 12665 | track 1 | ch 1 | Note Off C3 (48) vel 0
12.215s | tick 12665 | track 1 | ch 1 | Note Off G4 (67) vel 0
12.215s | tick 12665 | track 1 | ch 1 | Note On D3 (50) vel 33
12.215s | tick 12665 | track 1 | ch 1 | Note On D4 (62) vel 25
12.215s | tick 12665 | track 1 | ch 1 | Note On D5 (74) vel 35
12.308s | tick 12761 | track 1 | ch 1 | Note Off D3 (50) vel 0
12.308s | tick 12761 | track 1 | ch 1 | Note On C4 (60) vel 36
12.308s | tick 12761 | track 1 | ch 1 | Note On D3 (50) vel 28
12.401s | tick 12857 | track 1 | ch 1 | Note Off D3 (50) vel 0
12.401s | tick 12857 | track 1 | ch 1 | Note Off C4 (60) vel 0
